label,version,details
"Alert Manager","3.0.7","https://apps.splunk.com/apps/id/alert_manager"
"Alto Dashboard","0.1","https://apps.splunk.com/apps/id/alto_dashboard_alert"
"Analysis of SplunkBase Apps","5.4.3","https://apps.splunk.com/apps/id/analysis_of_splunkbase_apps"
"Custom Visualization - donut","1.0.3","https://apps.splunk.com/apps/id/aplura_viz_donut"
"Custom Visualization - markdown","1.0.2","https://apps.splunk.com/apps/id/aplura_viz_markdown"
"Custom Visualization - scatterplot_matrix","1.1.0","https://apps.splunk.com/apps/id/aplura_viz_scatterplot_matrix"
"Custom Visualization - tolstoy_target","1.0.0","https://apps.splunk.com/apps/id/aplura_viz_tolstoy_target"
"Bullet Graph","1.2.0","https://apps.splunk.com/apps/id/bullet_graph_app"
"Calendar Heat Map","1.2.0","https://apps.splunk.com/apps/id/calendar_heatmap_app"
"Cisco Networks","2.3.2","https://apps.splunk.com/apps/id/cisco_ios"
"Config Quest","3.0.1","https://apps.splunk.com/apps/id/config_quest"
"Custom Image Map Visualization","1.0.1","https://apps.splunk.com/apps/id/custom-image-map-viz"
"cool viz","1.0.4","https://apps.splunk.com/apps/id/cuviz_water_gauge"
"D3 Extensions","1.2","https://apps.splunk.com/apps/id/d3_splunk_extentions"
"ITSI Module for Application Servers","4.12.0","https://apps.splunk.com/apps/id/DA-ITSI-APPSERVER"
"ITSI Splunk App for Content Packs","1.6.0","https://apps.splunk.com/apps/id/DA-ITSI-ContentLibrary"
"AWS Dashboards and Reports","1.2.1","https://apps.splunk.com/apps/id/DA-ITSI-CP-aws-dashboards"
"Monitoring Citrix","1.0.2","https://apps.splunk.com/apps/id/DA-ITSI-CP-citrix"
"Monitoring Pivotal Cloud Foundry","1.0.3","https://apps.splunk.com/apps/id/DA-ITSI-CP-cloud-foundry"
"Content Pack for ITE Work Alert Routing","1.0.1","https://apps.splunk.com/apps/id/DA-ITSI-CP-itew-alerting-content"
